Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
374.745704,9.057,0.394058,0.001227,0.000338,-0.002035,-0.000508
377.260773,9.058,0.765621,0.00122,0.000335,-0.00203,-0.000511
378.511545,9.059,0.985985,0.001219,0.000334,-0.002036,-0.000512
381.042444,9.06,1.037033,0.001212,0.000336,-0.002027,-0.000509
383.557858,9.062,1.01256,0.001213,0.000336,-0.002029,-0.000511
384.823749,9.062,1.04628,0.001211,0.000335,-0.002026,-0.000511
387.33856,9.064,2.946319,0.001212,0.000339,-0.002034,-0.00051
388.589251,9.064,1.063532,0.001207,0.000339,-0.002028,-0.000509
391.089517,9.066,2.821247,0.001201,0.000336,-0.002031,-0.000511
393.589919,9.067,1.0283,0.001201,0.00034,-0.002031,-0.000508
394.856158,9.068,0.927118,0.001201,0.000341,-0.002038,-0.000508
397.385422,9.069,1.033871,0.001201,0.000338,-0.002033,-0.000504
398.636808,9.07,1.112033,0.001201,0.000342,-0.002038,-0.000507
401.16841,9.071,0.786349,0.001199,0.000343,-0.002033,-0.000506
403.683562,9.073,1.038173,0.001195,0.000339,-0.00204,-0.000509
404.931971,9.073,1.15387,0.001192,0.000337,-0.00203,-0.000511
407.433953,9.075,1.074779,0.001178,0.000328,-0.002029,-0.000518
408.68408,9.076,1.116235,0.001174,0.000325,-0.002033,-0.000519
411.182435,9.077,1.08408,0.001176,0.000327,-0.002032,-0.000518
413.698848,9.078,1.068339,0.001171,0.000326,-0.002026,-0.000519
414.965423,9.079,1.130697,0.001163,0.000316,-0.002038,-0.000529
417.4959,9.08,1.487979,0.001131,0.000294,-0.002041,-0.000553
418.76207,9.081,1.218573,0.001132,0.000296,-0.002048,-0.000549
421.278534,9.082,1.183298,0.001135,0.000303,-0.002052,-0.000543
422.526528,9.083,1.590466,0.001135,0.000307,-0.002051,-0.000541
425.043467,9.084,1.137164,0.001127,0.000297,-0.002041,-0.000548
427.543603,9.086,1.03508,0.001118,0.000297,-0.002046,-0.000547
428.793289,9.086,1.258798,0.001125,0.000303,-0.00205,-0.000542
431.29279,9.087,0.819597,0.001116,0.000302,-0.002053,-0.000548
432.542778,9.088,1.345989,0.001115,0.000303,-0.002048,-0.000544
435.058137,9.089,0.664976,0.001098,0.000284,-0.002053,-0.000566
437.574641,9.091,1.094181,0.001099,0.000288,-0.002062,-0.000558
438.82379,9.091,1.074488,0.001096,0.000287,-0.002058,-0.000556
441.339563,9.092,1.309213,0.001089,0.000275,-0.00206,-0.000568
442.604903,9.093,1.421801,0.001086,0.000276,-0.002063,-0.000568
445.1045,9.094,1.373009,0.001079,0.00027,-0.002064,-0.000574
447.605552,9.095,-0.431852,0.001101,0.000293,-0.00206,-0.000553
448.870926,9.096,1.418549,0.00111,0.000296,-0.002064,-0.000551
452.651729,9.097,0.934487,0.001082,0.000274,-0.002072,-0.000573
455.182693,9.099,1.091841,0.001085,0.000285,-0.002064,-0.00056
457.697947,9.101,1.408268,0.001079,0.000276,-0.00207,-0.000577
458.9482,9.101,1.398023,0.001086,0.000282,-0.002078,-0.00057
461.463906,9.102,1.301982,0.001084,0.000285,-0.002073,-0.000568
462.714921,9.103,1.472355,0.001082,0.00029,-0.002072,-0.000565
465.22882,9.104,0.894576,0.001063,0.000281,-0.002073,-0.000574
466.479935,9.105,1.518256,0.001061,0.00028,-0.002066,-0.00057
468.979883,9.107,1.590933,0.001071,0.000287,-0.00208,-0.000565
